,Rating,Title,Pro,Con,Job Title,Status,Region,Date
162,3.0,Micromanagement is in the core of culture,"- Good employee engagement
- Tries to be tech company
- Good staff discounts and stock discount
- WFH arrangements where possible","- Micromanagement is in the core of the company and higher ups deliberately ignore and rub it off even on Townhalls
Lipstick agile, so much that story points are questioned!
Real lack of skilled people
Want to be a tech company but can't even allow to connect to DB and servers from laptops.",SVP-Technology,Current Employee,Singapore,"Jul 26, 2022"
163,3.0,Private Bank,"Stable, strong local bank. A good place to retire.","Local culture, not ideal for people who are used to working in foreign companies.",Associate Director,Current Employe,Singapore,"Oct 30, 2022"
164,5.0,Good benefits,Good benefits - nice pantry Friendly colleagues.,Tight deadline and demanding customers.,Anonymous Employee,Former Employee,,"Sep 6, 2022"
165,5.0,Experience at dbs,"1.Working culture is very good
2.everyone had a oppurtunity to share our thoughts freely
3.We can enhance our learning as they provide great learning platforms",Everything was fine - no cons,Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
166,5.0,Great place to start your career!,"The process of on boarding is very simple and clear. 
Everyone is very kind and helpful 
Pretty good work life",There are no cons as such,Senior Officer,Current Employee,,"Aug 16, 2022"
167,5.0,Excellent working environment,"Very excited to work , good environment, Amazing working culture",No cons that I can tell really,Middle Office Trainee,Current Employee,Hyderābād,"Aug 30, 2022"
168,5.0,Review on the company,The work culture is good and have a great learning experience,Nothing much about the cons,Senior Officer,Current Employee,,"Aug 30, 2022"
169,5.0,My stint with DBS,"1. Tech stack
2. Tools, people and processes
3. Engagement activities, team events
4. Hybrid work arrangement",1. It is Asian bank so moving across regions may not be possible,Vice President,Current Employee,,"Aug 18, 2022"
170,4.0,Decent place to work,"Good teammates
WFH/WIO flexibility
Management encourage team player by having team activities. But really depends on the team and managers.",Sometimes you can see the older people who have been working in this company still having the hierarchical mindset. But can see that they are trying to adopt flat team management.,Associate,Current Employee,Singapore,"Jul 18, 2022"
171,2.0,Enter At you r own risk(If you dept. starts with I*GT),"Best Looking Office, Second to none. Their talent upgrade infrastructure is also standard","The work culture is exactly the one you see in YouTube channels and get scared to death. What I am mentioning below is not just a personal experience. I was the last person to exit from my team who had all faced similar situatons.

CoVid: To start off, these guys were the last to shut down offices when covid started! Despite the complaints and agitations. As a result, a heavy percentage of young workforce got trapped in PGs for a really long time. Their infrastructure was not prepared for WFH and productivity took a hit. And instead of relaxing the timelines, they made it worse! 9 hr. day turned to 15 hr. soon and then the immediate managers started showing their colors. I was literally asked to have paracetamol and work when I had covid.

Usual scene: There is insane amount of favourism and mafia type situation, starting from junior management itself. Talent is worshiped here too! But don't expect accelerated growth just because of that. You will just be a very talented mule. Don't expect good ratings and increments just because you did good job. One of my colleagues got bad rating just because she complaint about here manager. He was rude because she could not deliver as she was stuck in a PG without proper internet, food and water!!!

Technical Infrastructure : There is none! you'll get new or changed requirements 2 hrs. before the production deployment. There are no good software development practices followed.","Software Developer, Technical Analyst",Former Employee,Hyderābād,"Sep 10, 2021"
172,4.0,Good experience with DBS,Freedom of getting things done your own way.,Everyone is just busy with their own thing. Need to figure your own way out,Business Analyst,Current Employee,Singapore,"Aug 21, 2022"
173,5.0,The Best Bank in the World,"Amazing people to work with, and the company focuses on employees wellness.",Fast paced environment which sometimes can get too overwhelming.,Human Resources Assistant,Former Employe,,"Aug 21, 2022"
174,5.0,Best company to kick-start your career.,This is a good place to start your career. Friendly management.,"Training time is less, could have given more time to complete the project.",Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
175,4.0,Great culture but not the best place to be if you want to go far in your career,"Employee welfare
Culture
Stability
Leadership (CEO) level is great","Slow promotion and increment
Not culturally diverse for most teams",Outsourcing Risk Manager,Current Employe,,"Aug 10, 2022"
176,4.0,Depends who is your line manager,The Bank itself is a nice decent one. but the way they promote people - sometimes you need to hope you have a better luck than others.,"as above mentioned. I am dedicated and i am a great talent, but unfortunately the Bank doesn't seem to have a place for me.",Strategy,Former Employe,Hong Kong,"Jul 15, 2022"
177,5.0,Office experience,"Good work culture.
Helping colleagues.
Iflex.",Freshers don't get what role they are getting until whom they are going to report.,Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
178,5.0,Good onboarding process and a beautiful environment to work,The company has a great work culture and takes care of its employees very well.,Still i there are no cons,Sr.Officer,Current Employee,Hyderābād,"Aug 16, 2022"
179,5.0,My experience,Nice work culture and every one are ready to help,Not observed anything as the cons.,Senior Officer,Current Employee,Hyderābād,"Aug 30, 2022"
180,5.0,Good place to work on.,Lot of benefits outside of your salary,No cons felt during my tenure till now,Anonymous Employee,Current Employee,,"Sep 10, 2022"
181,4.0,Local bank culture,Work life balance somewhat depending how you manage,Ranking matters when it comes to treatment or discussion,Credit Analyst,Current Employe,,"Sep 12, 2022"
182,5.0,Review by chandini,Good work environment. Good culture,There are rotational shifts and is domestic so no cab facility to females,Teleperformance Customer Care Part Time,Current Employee,Chennai,"Sep 6, 2022"
183,5.0,Proud to work with DBS Tech,"Everything in DBS TECH was amazing.
One thing which I loved the most is ""onebot"".","Being a fresher I'm still exploring work culture in DBS TECH
But I love to see if you could reduce tax deduction",Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
184,5.0,Great,"1. The work culture.
2. The support system when one is down.
3. The opportunity to learn more and more technolgies ahead.",1. I think there were less cons.,Senior Officer,Current Employee,,"Aug 30, 2022"
185,5.0,It was just awesome. And trainer was so interactive and informative. It's a fruitful sessions,Work culture is so good. Everyone treated as same.,Nothing as cons in DBS,Senior Officer,Current Employee,,"Aug 30, 2022"
186,5.0,My FirstJob,It' s very inviting and supports the employee in all the possible ways and trust to convert seeders to leaders,It needs more implementation than words,Senior Officer,Current Employee,Hyderābād,"Aug 30, 2022"
187,3.0,Poor pay philosophy,"Many things to learn
Gearing towards a data driven culture","Very poor pay philosophy 
Claims to be paying fairly to market rate but in actual fact is not
Claims to use data as benchmark to determine salary, but data is outdated and/or their methods of benchmarking is not done properly or selectively used.",Business Analyst,Current Employee,Singapore,"Apr 3, 2022"
188,5.0,Review,Good foresight and vision with clear planning of the future.,Too aggressive in going digital,Insurance Manager,Current Employe,,"Sep 13, 2022"
189,2.0,General Review,Good Benefits and Salary provided is good.,Very much Hectic work. No proper Agile methodology is followed.,Senior Associate,Former Employee,Hyderābād,"Sep 13, 2022"
190,4.0,Project manager,Good learnings.you can switch roles easily.,No work life balance.stress life,Project Manager,Current Employee,Singapore,"Sep 4, 2022"
191,4.0,Review,Good benefits & lots of annual leaves,Salary package below market rate,Business Analyst,Current Employe,,"Sep 5, 2022"
192,4.0,Still a Regional bank,"Biggest bank in Singapore, more impact on Asia region",Tech is sucks as it says we are best digital bank,Relationship Manager,Current Employe,,"Aug 23, 2022"
193,5.0,Good place to Kickstart your career,One of the best places to work and grow,Training time can be increased and less time is given for project completion.,Senior Officer,Current Employee,,"Aug 16, 2022"
194,5.0,Experience,The working environment and the joyful learning.,The downside of the dbs is nothing,Senior Officer,Current Employee,Hyderābād,"Aug 30, 2022"
195,5.0,Feedback,Everything is good. The environment is flexible to work.,There is no downside in dbs.,Senior Officer,Current Employee,,"Aug 30, 2022"
196,5.0,Relationship officer,Family culture. People are nice,Slow progression and increment for non sales,Relationship Officer,Current Employee,,"Sep 1, 2022"
197,4.0,Good opportunity for new graduates but it’s also a stressful journey,Lots of opportunities to shine and explore. You will have at least 4 rotations in different departments which will help you to understand different banking departments and job scope.,Sometimes managers will have unrealistic expectations on management associates and put too heavy workload on them. Also management associate need to do lots of extra works such as being event hosts / event coordinator which they need to spend out of work time to do.,Management Associate,Current Employee,Singapore,"May 7, 2022"
198,4.0,On training,"They have the knowledge,
They are skilled",1 month is very less time to learn,Senior Officer,Current Employee,,"Aug 30, 2022"
199,5.0,The best place to learn,"Very interactive and informative, flexible",Less time on the training.,Senior Officer,Current Employee,Hyderābād,"Aug 30, 2022"
200,4.0,Its an okay place,"- Good benefits
- Good place to build up your proficiency level on technical skills","- Low retention rates
- Pressure cooker",Anonymous Employee,Current Employe,,"Aug 19, 2022"
201,1.0,Bad,Run too much work..nothing good only pressure,Dont bother to join at all,Tester,Former Employe,,"Oct 20, 2022"
202,2.0,Good for learning bad for mental health,"Lots of things to learn, quite abit of modern technology.","Lots of office politics and internal fighting.

All learning must be self learnt, zero guidance.

A lot of very unhelpful and lazy employees",AVP-IT,Current Employee,,"Aug 14, 2022"
203,3.0,Poor culture,Strong brand name and stable job,Don’t like the internal culture,Commercial Relationship Manager,Current Employe,,"Sep 17, 2022"
204,4.0,Good Culture,"Great place to learn and grow, willing to groom young people. Lots of development opportunities","Base pay is not comparable to foreign banks, but overall pay package including yearly variable is competitive.",Senior Associate,Current Employee,Singapore,"Aug 24, 2022"
205,4.0,Good start,"It’s good to kick start your banking career with the role, as there will be lots of challenge for you to cope with.

Good rewards with good efforts.","Management change too frequently might be hard for you to get used to it, but if you’re adaptable to the changes you might the successful one.",Wealth Planning Manager,Current Employee,,"Jul 12, 2022"
206,4.0,Company Review,Good employee benefits and chance for internal mobility,micro from the upper management sometimes,Anonymous Employee,Current Employe,,"Sep 12, 2022"
207,5.0,avp,good working environment and vibe,salary not too good with other,Treasures Relationship Manager,Current Employe,,"Sep 15, 2022"
208,5.0,My experience,The way we have been introduced into DBS and the work culture and mainly the pride values are excellent.,No cons according to me.,Anonymous Employee,Current Employee,,"Aug 30, 2022"
209,3.0,OK,Flexibility in hours and culture,Not at the moment yet,Anonymous Employee,Former Employe,,"Sep 18, 2022"
210,4.0,Company Review,Hikes and Flexibility . Transport facility,Need to stretch after office hours,Senior Associate,Current Employee,,"Sep 14, 2022"
211,5.0,Great workplace,"Employee friendly
Work life balance
Great environment","Nil
Cant think ofany cons yet",Associate,Current Employee,Mumbai,"Sep 14, 2022"
212,5.0,Great company,"work life balance
job security
good team support
Working with good technology stack",Need to stretch long hours during production deployment,Senior Software Engineer,Former Employe,,"Sep 5, 2022"
213,4.0,Good direction from management,"- organised 
- clear direction from top
- strive for results",- legacy tech that is in midst of transitioning to new data platform,AVP-Analyst,Current Employe,Singapore,"Aug 29, 2022"
214,5.0,Brand of DBS TECH,Nice company to start your good career as a fresh er as well as experienced candidate which helps it to learn upcoming technologies with good training too,Nothing to there share about cons,Senior Officer (Technical),Current Employe,,"Aug 16, 2022"
215,3.0,Na,My interest in banking. First bank to start of with in my career.,No work life balance. Workload not balanced.,Bank Teller,Current Employee,"Orchard, ","Aug 25, 2022"
216,3.0,Good place for retire,"Nice colleagues, good place for retire","Poor compensation, slow career progression",Assistant Relationship Manager Private Banking,Former Employe,Hong Kong,"Sep 13, 2022"
217,4.0,Decent workplace,DBS is a decent workplace. The company looks after its employees.,Payscale is a bit on the lower side,Anonymous Employee,Current Employe,,"Sep 4, 2022"
218,5.0,Good place to work,A Good place to work,No real cons for now,Anonymous Employee,Current Employe,,"Sep 5, 2022"
219,5.0,Life at DBS TECH,The best place to start your career as a fresher. you'll learn alot as they use the latest technology. And the work culture and environment is perfect,"So far, i have none",Snr. Officer,Current Employee,,"Aug 16, 2022"
220,4.0,Best bank,Can maintain great balance between work life and personal life.They also provide cabs.,Just completed my training so not sure about cons,Finance,Current Employee,Hyderābād,"Aug 16, 2022"
221,4.0,Emphasis in employee development,"- training budget for professional development 
- pretty robust career pathways
- supportive environment","- as with any huge organisations, there can be roadblocks to getting work done effectively
- compensation could be better",User Experience Writer,Current Employe,"Austin, TX","Aug 1, 2022"
222,2.0,Salary,The benefits for employee was good,Busy and required overtime on most of the days,Executive,Former Employee,,"Oct 31, 2022"
223,2.0,High turnover due to some leads being terrible.,Useful onboarding and good culture.,"If your team lead partakes in gossiping, it will be a bad experience.",Wealth Planning Manager,Former Employee,,"Oct 12, 2022"
224,5.0,Great Company to work in!!!,"Great Management, Good Ambiance, Good Culture, very good at organizing things",No cons as of now,Senior Officer,Current Employee,"Bedok New Town, ","Aug 16, 2022"
225,5.0,Regarding my work experience,"Work life balance,best training,work culture","Training will be fast, directly you will get into the project after training",Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
226,4.0,DBS Tech brand member,"Great learning and development ,Good career growth opportunities",It all good and their is no cons in DBS tech,Senior Officer,Current Employee,"Nampa, ID","Aug 16, 2022"
227,5.0,Great place to work,Constant transportation support and continuous motivation to seeders,Work timings - too early to start in the morning,Senior Officer,Current Employee,,"Aug 16, 2022"
228,4.0,Good organization,"Training was good for freshers.
Work culture was great.",Here we work little early. It would be better if timings are flexible,Sr Officer,Current Employee,,"Aug 16, 2022"
229,5.0,A good tech platform,Good exposure to technology and provides support to upgrade yourself.,Nothing to mention they aren't any major things.,Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
230,3.0,DevOps Engineer,"iflex points of 25000 will be provided for eye checkup, dental and gym","workload is high, 
there is lot of difference in management from india and Singapore",Associate,Current Employee,Hyderābād,"Aug 24, 2022"
231,4.0,Good benefits,"Able to WFH, good medical/leave benefits, shuttle bus to certain locations","Office politics, OT life to meet senior management's unreasonable deadlines",Associate,Current Employee,Singapore,"Aug 29, 2022"
232,5.0,Experience at DBS,"1:The environment is very friendly
2:The team manager and seniors are very supportive. 
3:We have opportunity to learn and grow ourself.",No cons for now all things are good .,Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
233,5.0,Best place to learn,"very interactive ,flexibility , good coomunication , clarifies doubts in easy way",Less time on the training,Senior Officer,Current Employee,,"Aug 30, 2022"
234,5.0,Review,The training is very well. The work culture is very good.,No cons to say for DBS,Senior Officer,Current Employee,,"Aug 30, 2022"
235,3.0,Customer Service Officer @ DBS,Great benefits and good bonus.,"- Huge call volumes but expected.
- Management incapabilities.",Customer Service Officer,Former Employee,,"Aug 31, 2022"
236,5.0,Good benefits,Good benefits - nice pantry Friendly colleagues.,Tight deadline and demanding customers.,Anonymous Employee,Former Employee,,"Sep 6, 2022"
237,2.0,Place to challenge yourself.,Got to know awesome colleague and team around.,Don't expect work life balance.,Wealth Planning Manager,Current Employe,,"Sep 6, 2022"
238,5.0,Experience at dbs,"1.Working culture is very good
2.everyone had a oppurtunity to share our thoughts freely
3.We can enhance our learning as they provide great learning platforms",Everything was fine - no cons,Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
239,5.0,Great place to start your career!,"The process of on boarding is very simple and clear. 
Everyone is very kind and helpful 
Pretty good work life",There are no cons as such,Senior Officer,Current Employee,,"Aug 16, 2022"
240,5.0,Growth Opportunities,"1.flexible 
2.Open to new ideas 
3.Equality among all positions
4.Feedback System is too impressive",No Issue about DBS !!,Senior Officer,Current Employee,,"Aug 16, 2022"
241,5.0,Work life at DBS,"Best place to work 
Get to meet great and talented people",No cons encountered by far,Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
242,4.0,Excellent benefits,Excellent benefits with good quality of people,Very dynamic and busy sometimes,Credit Manager,Current Employee,Singapore,"Aug 23, 2022"
243,4.0,One of the best bank,Lot of opportunities is Thera,Nothing in downside of work,Officer,Current Employee,Chennai,"Aug 24, 2022"
244,2.0,Data analytics,"Great place for learning, exploring Good benefits Good location","Favoritism, growth is slow if you are not the favorite Political at all levels",Data Analytics - Associate,Former Employe,,"Oct 19, 2022"
245,5.0,Good place to work in,"Good culture, good benefits compared to peers",Though has flexible work arrangement but mandatory to work in office for 60%,Finance Analyst,Current Employee,Singapore,"Aug 8, 2022"
246,5.0,Good Experience and best place to work,"Great onboarding experience
really a great supportive management",Everything is good no cons,Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
247,5.0,Operations,"Stable, welfare is good for staff",Promotion is slow in certain dept,AVP-Operations,Current Employee,,"Aug 24, 2022"
248,5.0,Associate Full Stack Developer,"Good compensation and benefits, Transportation facilities, Good work environment",No cons as of now,Associate Full Stack Developer,Current Employee,Hyderābād,"Aug 18, 2022"
249,4.0,Work-life balance not so good,"The colleagues are friendly, and it is easy to get support. Sometimes we have the team-bonding activities.",The work-life balance is not so good at DBS; even called by managers on Sunday to cover some deliverables.,Senior Associate,Former Employe,,"Jul 21, 2022"
250,3.0,Decent place,Can be a fulfilling job,Incredibly sales oriented pay scheme.,Wealth Planning Manager,Current Employe,Singapore,"Sep 9, 2022"
251,4.0,Depends who is your line manager,The Bank itself is a nice decent one. but the way they promote people - sometimes you need to hope you have a better luck than others.,"as above mentioned. I am dedicated and i am a great talent, but unfortunately the Bank doesn't seem to have a place for me.",Strategy,Former Employe,Hong Kong,"Jul 15, 2022"
252,5.0,Office experience,"Good work culture.
Helping colleagues.
Iflex.",Freshers don't get what role they are getting until whom they are going to report.,Senior Officer,Current Employee,Hyderābād,"Aug 16, 2022"
253,5.0,Good onboarding process and a beautiful environment to work,The company has a great work culture and takes care of its employees very well.,Still i there are no cons,Sr.Officer,Current Employee,Hyderābād,"Aug 16, 2022"
254,5.0,My experience,Nice work culture and every one are ready to help,Not observed anything as the cons.,Senior Officer,Current Employee,Hyderābād,"Aug 30, 2022"
255,5.0,DBS work experience,Excellent company to work for that provides fair and progressing benefits to their employees.,They need to improve on work-life balance.,Customer Service Supervisor,Former Employe,,"Aug 23, 2022"
256,4.0,Benefits,Benefits are inline with market,Medical can be more competitive,Vice President,Current Employee,Hong Kong,"Sep 8, 2022"
257,5.0,Best Place To Work,"Open culture in the bank
Meritocracy is promoted always in the bank
Work Life Balance is maintained to a great extent",Pay can be better I guess,Relationship Manager,Current Employee,Mumbai,"Aug 17, 2022"
258,1.0,Mediocre Company,Allows remote work and care for family members,Too many complicated procedures Difficulty in understanding all the procedure,Relationship Manager,Current Employee,Jakarta,"Oct 4, 2022"
259,3.0,Review on job,"Good staff benefits
Staff mobility every 2 years",No worklife balance due to heavy workload.,Relationship Executive,Current Employee,,"Sep 2, 2022"
260,5.0,Strong familial culture,Open insights into management plans + definitive roadmaps to deliver on promises made on employees painpoints,"Compensation seems to be flatter at lower ranks, while higher ranks is very competitive",Junior Product Manager,Current Employee,,"Mar 29, 2022"
261,4.0,Great place to work,"Good stack of employee benefits
Intelligent and capable coworkers to collaborate with
Decent compensation","""glass ceiling"" makes it slightly difficult to progress career
some periods of the calendar year can be very intense",User Experience Researcher,Current Employee,Singapore,"Mar 26, 2022"
262,1.0,so so,good pay and good bonus.,bad working environment toxic management and politics,SVP-Service Delivery Executive,Current Employee,Singapore,"Jun 6, 2022"
263,5.0,Family like environment,People are generally helpful and warm,"Slow and small increment
Hierarchical
Benefits not as gd as foreign banks",Relationship Manager,Current Employe,Singapore,"Apr 17, 2022"
264,5.0,DBS,Flexible and good employee benefits,"High motivation needed, unfixed working hours",Wealth Planning Manager,Current Employe,,"Apr 27, 2022"
265,5.0,Fast pace,Good benefit. Good place to learn.,"No worklife balance, fast pace",Data Analyst,Current Employee,Jakarta,"Apr 25, 2022"
266,3.0,Long working hours,"Good benefits, good career progression","Long working hours, no work life balance",Analyst,Current Employee,Singapore,"Apr 25, 2022"
267,4.0,Great,Good learning culture for fresh graduates,Long working hours in operations roles,Analyst,Current Employe,,"Apr 26, 2022"
268,3.0,Principal Designer,"Work culture, Flexibility of work, Job Stability","Slow growth, Average Salary, Slow decision making",Vice President,Current Employee,Singapore,"Apr 24, 2022"
269,5.0,Great people orientation,Organization focused on doing right things for their employees. Employee friendly people policies & great Leadership,Rapidly growing org with lot of new people who need to understand DBS values,Vice President,Current Employee,Hyderābād,"Mar 25, 2022"
270,4.0,Salary,"Updated IT equipments, enable mobility",Low salary compare to other private bank ARMs long work hours,DBS Private Bank,Current Employee,Singapore,"Mar 24, 2022"
271,3.0,Experience,office culture (subjective to team),"work - life balance, management decisions",Anonymous Employee,Current Employee,,"Jun 27, 2022"
272,4.0,good company for freshers,"good company, nice enagagement team activities","long working hours, more work and less members",Analyst,Current Employe,,"Mar 22, 2022"
273,5.0,Best bonus,This bank has the best bonus of all the banks I’ve worked at. Competitive pay if you come from another bank.,Low increment for staff who gets converted or promoted,Associate,Current Employee,Singapore,"Feb 26, 2022"
274,4.0,Dbs,Good bank to learn and work,Pay is based on performance not standardised,Banking Advisor,Current Employe,,"Mar 28, 2022"
275,4.0,Good experience,Good environment and teamwork good experience,I don’t have anything to say,Senior Software Engineer,Current Employee,,"Mar 28, 2022"
276,5.0,-,Depends on which department you are in,Still figuring out its structure,Anonymous Employee,Current Employe,,"Mar 29, 2022"
277,5.0,dbs,very very very nice collogue,Work / Life not balance,Anonymous Employee,Current Employe,,"Mar 31, 2022"
278,5.0,Nil,High pay and employment perks,High job load and competitive.,Associate Director of Development,Current Employee,Singapore,"Apr 1, 2022"
279,5.0,Employee Centricity and Growth,"1. Employee centricity and priority towards employees is one of the key pillars for management
2. Compensation is towards the top quartile in the industry
3. Very high focus on your career growth and self development. Empathy levels are high in management with greater focus on your work life balance and mental wellbeing
4. Excellent engagement practices and bullish on India market",1. Balance between strategizing and execution can be better. Sometimes felt like things move real slow given the highly matrixed style of working,Compensation and Benefits Specialist,Former Employee,Mumbai,"Oct 28, 2021"
280,4.0,Good,"Very nice work life balance, culture","Its good to work with DBS, very nice",Associate,Current Employee,Hyderābād,"Apr 21, 2022"
281,4.0,Good Employer,Its Global Bank following standards,Does not pay much salary,Anonymous Employee,Current Employee,Singapore,"Apr 24, 2022"
282,5.0,All good,"Big idea from mgmt 
Tech driven 
Work life balance
Good salary Pay","All good so far
Heard annual salary increment is not very high",Full Stack Lead Developer,Former Employe,,"Mar 25, 2022"
